adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
,1,,,,0,0,,5.0,6-0,0,0,,,Olaijah Griffin,,,1,,,,,olaijah-griffin-1,,,QB,,,,,,,,,,,,0.0,,2018,7,1.0,USC,8,,,170,,,,0,,FR
,13,,,,0,0,,11.0,6-0,0,0,,,Olaijah Griffin,,,9,,,,,olaijah-griffin-1,,,CB,,,,,,,,,,,,0.0,,2019,24,0.5,USC,37,,,170,,,,0,,SO
,14,,,,0,0,,,6-0,0,0,,,Olaijah Griffin,,,10,,,,,olaijah-griffin-1,,,CB,,,,,,,,,,,,0.0,,Career,31,1.5,USC,45,,,170,,,,0,,
