,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2011,,0,,,,0.0,0.0,,9.0,5-11,0,0,,2,Tyler Lockett,,,0.0,,,,,tyler-lockett-1,28,30,WR,0,,3,246,13.7,18,10,0,110,11.0,3,0.0,,2011,2,0.0,Kansas State,2,5,,175,356,12.7,,0,,FR
2012,,0,,,,,,,13.0,5-11,0,0,,2,Tyler Lockett,,,,,,,,tyler-lockett-1,51,36,WR,0,,4,687,15.6,44,7,0,55,7.9,4,0.0,,2012,1,0.0,Kansas State,1,6,,175,742,14.5,,0,,SO
2013,,0,0.0,0.0,0.0,0.0,0.0,,12.0,5-11,0,0,0.0,0,Tyler Lockett,,0.0,0.0,,0.0,0.0,,tyler-lockett-1,83,66,WR,0,,11,1262,15.6,81,2,0,10,5.0,11,0.0,,2013,2,0.0,Kansas State,2,11,,175,1272,15.3,,0,,JR
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,,13.0,5-11,0,0,0.0,0,Tyler Lockett,,1.0,0.0,0.0,0.0,0.0,0.0,tyler-lockett-1,109,78,WR,2,0.0,11,1515,14.3,106,3,0,17,5.7,11,0.0,,2014,2,0.0,Kansas State,2,13,,175,1532,14.1,,0,,SR
Career,0.0,0,0.0,0.0,0.0,0.0,0.0,,,5-11,0,0,0.0,4,Tyler Lockett,,1.0,0.0,0.0,0.0,0.0,0.0,tyler-lockett-1,271,210,WR,2,0.0,29,3710,14.9,249,22,0,192,8.7,29,0.0,,Career,7,0.0,Kansas State,7,35,,175,3902,14.4,,0,,
