,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2015,,,,,,2,4,,1993-03-27,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,10,2,5-11,,,0,0,,,,,,,,0,,,,,,,Justin Coleman,,,,5,,,,,,ColeJu01,db,,,,,,,,,,,,,,,,,,,,,,0.0,,2015,17,NWE,,,,,,,,,,190,,,,,,,,,,0.0,0
2016,,,,,,1,0,,1993-03-27,,,,,,,,,,,,,,,,,,,,,,10,1,5-11,,,0,0,,,,,,,,0,,,,,,,Justin Coleman,,,,3,,,,,,ColeJu01,db,,,,,,,,,,,,,,,,,,,,,,0.0,,2016,8,NWE,,,,,,,,,,190,,,,,,,,,,,0
2017,,,,,,3,11,,1993-03-27,,,,,,,,,,,,,,,,,,,,,,16,5,5-11,,,2,2,,,,,,,,30,,,,,,,Justin Coleman,,,,9,,,,,,ColeJu01,cb/lcb,,,,,,,,,,,,,,,,,,,,,,1.5,,2017,32,SEA,,,,,,,,,,190,,,,,,,,,,,58
2018,,,,,,4,14,,1993-03-27,,,,,,,,,,,,,,,,,0.0,1.0,2.0,29.0,,16,5,5-11,,,1,0,,,,,,,,0,,,,,,,Justin Coleman,,,,10,,,,,,ColeJu01,cb/lb,,,,,,,,,,,,,,,,,,,,,,0.5,,2018,41,SEA,,,,,,,,,,190,,,,,,,,,,29.0,0
2019,,,,,,4,7,,1993-03-27,,,,,,,,,,,,,,,,,0.0,3.0,1.0,0.0,,16,11,5-11,,,1,0,,,,,,,,55,,,,,,,Justin Coleman,,,,13,,,,,,ColeJu01,CB,,,,,,,,,,,,,,,,,,,,,,0.0,,2019,47,DET,,,,,,,,,,190,,,,,,,,,,0.0,55
Career,,,,,,14,36,,1993-03-27,,,,,,,,,,,,,,,,,0.0,4.0,4.0,29.0,,68,24,5-11,,,4,2,,,,,,,,55,,,,,,,Justin Coleman,,,,40,,,,,,ColeJu01,,,,,,,,,,,,,,,,,,,,,,,2.0,,Career,145,,,,,,,,,,,190,,,,,,,,,,29.0,113
