,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2016,,6,,,,0,0,,6.0,6-3,0,0,,,Kumonde Hines,,,0,,,,,kumonde-hines-1,0,,LB,,,0,0,,0,0,0,0,,0,0.0,,2016,8,1.0,Texas State,14,,,240,0,,,0,,FR
2017,,3,,,,0,0,,3.0,6-3,0,0,,,Kumonde Hines,,,0,,,,,kumonde-hines-1,0,,LB,,,0,0,,0,0,0,0,,0,0.0,,2017,2,0.0,Texas State,5,,,240,0,,,0,,SO
2018,,6,,,,0,0,,5.0,6-3,0,0,,,Kumonde Hines,,,0,,,,,kumonde-hines-1,0,,LB,,,0,0,,0,0,0,0,,0,0.0,,2018,3,1.0,Texas State,9,,,240,0,,,0,,JR
2019,,8,,,,0,0,,7.0,6-3,0,0,,,Kumonde Hines,,,0,,,,,kumonde-hines-1,1,,LB,,,0,4,4.0,1,0,0,0,,0,0.5,,2019,5,1.5,Texas State,13,,,240,4,4.0,,0,,SR
Career,,23,,,,0,0,,,6-3,0,0,,,Kumonde Hines,,,0,,,,,kumonde-hines-1,1,,LB,,,0,4,4.0,1,0,0,0,,0,0.5,,Career,18,3.5,Texas State,41,,,240,4,4.0,,0,,
