,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2017,,10,,,,0,0,,8.0,6-3,0,0,,,Jacub Panasiuk,,,0,,,,,jacub-panasiuk-1,,,DE,,,,,,,,,,,,1.0,,2017,7,2.5,Michigan State,17,,,245,,,,0,,FR
2018,,18,,,,1,0,,11.0,6-3,0,0,,,Jacub Panasiuk,,,1,,,,,jacub-panasiuk-1,,,DE,,,,,,,,,,,,2.0,,2018,12,4.5,Michigan State,30,,,245,,,,0,,SO
2019,,18,,,,2,0,,12.0,6-3,0,0,,,Jacub Panasiuk,,,1,,,,,jacub-panasiuk-1,,,DE,,,,,,,,,,,,3.5,,2019,16,8.5,Michigan State,34,,,245,,,,0,,JR
Career,,46,,,,3,0,,,6-3,0,0,,,Jacub Panasiuk,,,2,,,,,jacub-panasiuk-1,,,DE,,,,,,,,,,,,6.5,,Career,35,15.5,Michigan State,81,,,245,,,,0,,
